pd,w,pb,P.I,O,k,n,D60,Ya,Suction
1.58,16.5,27.65,24.0,0.313,3.41e-09,0.395,0.13,26.0,100.0
1.67,14.0,25.05,24.0,0.225,1.32e-09,0.36,0.13,27.0,1500.0
1.74,13.7,25.578,24.0,0.252,8.094e-10,0.333,0.13,70.0,500.0
1.84,10.9,21.896,24.0,0.233,1.096e-10,0.295,0.13,30.0,1000.0
1.58,17.0,28.44,20.5,0.329,3.57e-09,0.375,0.07,27.0,100.0
1.56,21.0,34.32,20.5,0.336,1.89e-10,0.383,0.07,40.0,500.0
1.65,15.0,26.4,20.5,0.295,3.183e-10,0.348,0.07,26.0,100.0
1.63,19.0,32.6,20.5,0.281,1.584e-10,0.356,0.07,30.0,1000.0
1.7,14.5,26.35,20.5,0.289,4.554e-10,0.328,0.07,70.0,500.0
1.67,18.5,32.565,20.5,0.294,7.768e-11,0.34,0.07,64.0,1000.0
1.83,11.8,23.424,20.5,0.258,23200000000.0,0.277,0.07,34.0,100.0
1.78,15.8,29.904,20.5,0.265,3.813e-11,0.296,0.07,40.0,500.0
1.56,18.2,29.952,14.3,0.343,1.77e-11,0.361,0.065,30.0,100.0
1.54,22.2,35.728,14.3,0.346,2.43e-10,0.367,0.065,70.0,500.0
1.65,16.3,28.545,14.3,0.234,4.869e-11,0.323,0.065,30.0,1000.0
1.6,20.3,34.08,14.3,0.336,1.54e-10,0.344,0.065,33.0,100.0
1.68,15.2,27.216,14.3,0.299,3.217e-10,0.311,0.065,27.0,100.0
1.65,19.2,33.33,14.3,0.345,8.012e-11,0.324,0.065,80.0,500.0
1.79,12.8,24.702,14.3,0.236,3.195e-10,0.266,0.065,40.0,1500.0
1.74,16.8,30.972,14.3,0.327,4.481e-11,0.286,0.065,30.0,100.0
1.53,18.5,29.835,9.3,0.304,1.53e-09,0.349,0.058,37.0,500.0
1.52,22.5,35.72,9.3,0.362,4.753e-10,0.353,0.058,34.0,1000.0
1.6,17.8,30.08,9.3,0.29,1.598e-10,0.319,0.058,64.0,500.0
1.57,21.8,35.796,9.3,0.334,1.973e-10,0.332,0.058,26.0,100.0
1.64,16.1,28.044,9.3,0.28,5.185e-10,0.302,0.058,30.0,100.0
1.6,20.1,33.76,9.3,0.323,1.36e-10,0.319,0.058,70.0,1000.0
1.75,13.7,25.725,9.3,0.259,1.58e-10,0.255,0.058,60.0,500.0
1.71,17.7,31.977,9.3,0.328,6.28e-11,0.272,0.058,34.0,100.0
1.6,20.5,34.4,20.5,0.296,3.88e-10,0.387,0.13,40.0,1500.0
1.66,18.0,31.54,9.3,0.287,1.544e-10,0.364,0.065,30.0,1000.0
1.62,18.5,31.59,24.0,0.292,7.41e-10,0.379,0.13,34.0,100.0
1.68,16.0,28.56,24.0,0.311,3.925e-10,0.356,0.13,30.0,500.0
1.75,15.7,29.225,24.0,0.315,1.92e-11,0.329,0.13,35.0,100.0
1.86,12.9,25.854,24.0,0.307,1.04e-10,0.287,0.13,27.0,30.0
1.61,19.0,32.2,20.5,0.335,3.78e-10,0.363,0.07,29.0,100.0
1.62,17.0,29.16,20.5,0.279,2.17e-10,0.36,0.07,57.0,500.0
1.75,16.5,30.625,20.5,0.236,6.15e-11,0.308,0.07,35.0,1500.0
1.84,13.8,27.232,20.5,0.255,4.47e-11,0.273,0.07,50.0,500.0
1.57,20.2,33.284,14.3,0.285,7.79e-10,0.356,0.065,52.0,1000.0
1.67,18.3,32.231,14.3,0.312,1.26e-10,0.316,0.065,28.0,100.0
1.71,17.2,31.122,14.3,0.267,1.173e-10,0.299,0.065,33.0,1500.0
1.8,14.8,28.44,14.3,0.277,7.3e-11,0.263,0.065,34.0,500.0
1.55,20.5,33.325,9.3,0.353,4.47e-10,0.34,0.058,32.0,100.0
1.61,19.8,33.488,9.3,0.242,1.51e-10,0.315,0.058,40.0,1000.0
1.68,18.1,32.088,9.3,0.293,1.196e-10,0.285,0.058,130.0,1500.0
1.78,15.7,29.726,9.3,0.294,5.678e-11,0.242,0.058,115.0,500.0
1.6,20.5,34.4,24.0,0.307,3.88e-10,0.387,0.13,40.0,1000.0
1.66,18.0,31.54,24.0,0.295,1.544e-10,0.364,0.13,30.0,500.0
